"Pattern","Hits","Files","Example1","Example2","Example3"
"fake PASS","113","74","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\BROAD_COMMAND_RECURSIVE_TRIGGER_LIST_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\FINAL_JUDGE_GATE_ALPHA_OMEGA_ROLE_RULE_20260522.md"
"PASS without","204","97","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\CleanMilkChecker\STAGE_2_CLOSEOUT.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\CleanMilkChecker\SEED_BUILD_CARD.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\CleanMilkChecker\backups\FINAL_WRAP_BACKUP_20260508_064047\outputs\PRACTICAL_001_CLEANMILKCHECKER_SEED_CARD_VERDICT.txt"
"named only","5","4","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TODO\TODO_WORKER_SYMPTOM_DIAGNOSTIC_NEXT_USE_20260524_014844.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\WORKER_SYMPTOM_DIAGNOSTIC_CARD_TEMPLATE_20260524.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\ASSISTANT_PROCESS_AUDIT_CARD_TEMPLATE_20260524.md"
"not applied","60","51","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\GPT_Prompts\CURRENT\SUPPORT_MIRRORS\STOP_FIX_SUPPORT\CHAT_DROP_COPY__STOP_ISSUE_NOTE_OPTION_WEIGHT_GATE_V1.1.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_ALIGNMENT_CHECK.txt"
"same problem","68","26","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TODO\TODO_ROUTER_FIRST_LIVE_FIX_LEDGER_NEXT_USE_20260523_223212.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\STOP_ISSUE_NOTE_OPTION_WEIGHT_GATE_20260522.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\SMOKE_BREAK_FOCUS_RESET_POWER_PLAY_RULE_20260522.md"
"same-issue","16","8","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\WORKER_SYMPTOM_DIAGNOSTIC_GATE_RULE_20260524.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TODO\TODO_PUZZLE_ASSISTANT_ISSUES_NEXT_USE_20260524_032211.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\WORKER_SYMPTOM_DIAGNOSTIC_CARD_TEMPLATE_20260524.md"
"rerun","488","204","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\README_START_HERE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_ALIGNMENT_CHECK.txt"
"proof gate","241","137","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN\SUIT\UNIVERSAL_STATE_MACHINE_SOFT_TEST.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\README_START_HERE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt"
"proof before PASS","15","14","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\SOFT_SUIT_PATCH_THROUGH_RULE_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\SLOW_THINK_PERFORMANCE_HUMILITY_GATE_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\CREATIVE_GATE_FRIENDSHIP_NEIGHBOR_ORDER_RULE_20260523.md"
"Final Judge","703","136","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\WORKER_SYMPTOM_DIAGNOSTIC_CARD_TEMPLATE_20260524.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\GATE_FAMILY_CHECKPOINT_CARD_TEMPLATE_20260524.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\SCRIPTS\SAVE_SCRIPTS\SAVE_FINAL_JUDGE_GATE_ALPHA_OMEGA_RULE_20260522.ps1"
"gate judge","111","36","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\PORCH_WATCHER\TOOLS\SAVE_NO_PARKING_FIT_DECISION_AND_SAVE_LOCATION_RULES_20260522.ps1","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.1_20260523_035152\SCRIPTS\LOCK_SAVE_GATE_SET_MULE_HANDOFF_ALPHA_OMEGA_V1.ps1","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\SCRIPTS\LOCK_SAVE_CHAT_TO_HOUSE_CREATIVE_ROOM_LARGE_MODEL_V2.ps1"
"outside its lane","6","4","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\SCRIPTS\SAVE_SCRIPTS\SAVE_GROWTH_SAFE_GATE_JUDGE_ROLE_RULES_20260522.ps1","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\SCRIPTS\SAVE_SCRIPTS\SAVE_FINAL_JUDGE_GATE_ALPHA_OMEGA_RULE_20260522.ps1","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\FINAL_JUDGE_GATE_ALPHA_OMEGA_ROLE_RULE_20260522.md"
"overreach","158","118","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_ALIGNMENT_CHECK.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\CORE_GUIDE_BACKUPS\CORE_GUIDES_BEFORE_CONFLICT_FREEZE_DONE_REASON_SYNC_20260508_074637\CLEAN_SEED_ALIGNMENT_CHECK.txt"
"underreach","7","6","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\SCRIPTS\SAVE_SCRIPTS\SAVE_FINAL_JUDGE_GATE_ALPHA_OMEGA_RULE_20260522.ps1","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\HOUSE_WORK\CHAT_COCKPIT\CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\GPT_PROMPTS_CUSTODY\REVIEWED_DESKTOP_NEW_BUNDLES\new_20260522_223559\CHAT_DROP_COPY__CHAT_HOUSE_RULES_COCKPIT_CARD_APPLIED_20260522.md"
"skip proof","372","163","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\README_START_HERE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_ALIGNMENT_CHECK.txt"
"Creative Gate","102","27","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\SOURCE_TRANSFER\TEXT_INCOMING\PROBLEM_SOLVING_101_LIVING_ORDER_REVIEW_20260523\GPT_THOUGHTS.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\NEXT_SPIN_SEQUENCER_GATE_CREATIVE_ROOM_TECH_RULE_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\GUEST_BOUNDARY_GATE_SET_THREE_SPIN_REVIEW_RULE_20260523.md"
"wildcard","207","53","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\_MERGE_AUDIT\excluded_paths.tsv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\PROBLEM_SOLVING_ORDER_LATCH_WITH_FRESH_IDEAS_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.1_20260523_035152\SCRIPTS\UPDATE_LOCAL_123_MULE_PACKET_GATE_ORDER_REVIEW_V1.ps1"
"emergence","121","37","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\_MERGE_AUDIT\excluded_paths.tsv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\SOURCE_TRANSFER\TEXT_INCOMING\PROBLEM_SOLVING_101_LIVING_ORDER_REVIEW_20260523\GPT_THOUGHTS.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\SOURCE_TRANSFER\MD_INCOMING\MULE_ABYSS_WEBDIVE_ORDER_BITSTRINGS_COMPLEXITY_CLEAN_SEED_20260519.md"
"flatline","48","10","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TODO\TODO_RIGIDITY_HUNT_SIGNAL_BEFORE_OBJECT_TYPE_NEXT_USE_20260524_012157.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TODO\TODO_PUZZLE_ASSISTANT_ISSUES_NEXT_USE_20260524_032211.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\TEMPLATES\ASSISTANT_PROCESS_AUDIT_CARD_TEMPLATE_20260524.md"
"why","4021","655","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\GPT_Prompts\CURRENT\SUPPORT_MIRRORS\STOP_FIX_SUPPORT\CHAT_DROP_COPY__STOP_ISSUE_NOTE_OPTION_WEIGHT_GATE_V1.1.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\PROBLEM_SOLVING_ORDER_LATCH_WITH_FRESH_IDEAS_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\GPT_Prompts\CURRENT\SUPPORT_MIRRORS\ROUTER_SUPPORT\CHAT_DROP_COPY__CHAT_COCKPIT_ROUTER_MAP_V1.0.md"
"what happened","749","206","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\GPT_Prompts\CURRENT\SUPPORT_MIRRORS\STOP_FIX_SUPPORT\CHAT_DROP_COPY__STOP_ISSUE_NOTE_OPTION_WEIGHT_GATE_V1.1.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\LEARNING_ROOT\LEARNING_ROOT_INDEX.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\LEARNING_ROOT\GROWTH_COMPOUNDING_LOG.txt"
"root cause","47","30","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\SCRIPTS\INCOMING\RUN_SAVE_FRONT_DOOR_AND_WORK_SORTING_RULES_20260521.ps1","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\PUBLIC_NOTES\PASTE_SAFE_GATE_SHAPE_001.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\COMMAND_CENTER\SCRIPTS\INCOMING\CORRECTION_ROOT_FIX_SUIT_FIRST_SAVE_20260520.ps1"
"adapt","742","188","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\PROBLEM_SOLVING_ORDER_LATCH_WITH_FRESH_IDEAS_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\_MERGE_AUDIT\excluded_paths.tsv","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\_MERGE_AUDIT\duplicates.tsv"
"adopt","1419","281","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_WRAP_GUIDE.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\ACTIVE_GUIDES\CLEAN_SEED_ALIGNMENT_CHECK.txt","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN\SUIT\CAPTURE_SYSTEM_HELPER_PACK.md"
"Jxhnny_Kleen_C3dz","3955","300","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\AGENTS.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\_MERGE_AUDIT\merge_summary.json","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\_MERGE_AUDIT\excluded_paths.tsv"
"Jxhnny_Kl33N_Seedz","249","57","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\_MERGE_AUDIT\merge_summary.json","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\BRAIN_LEARNING\USED_RUNNER_LIFECYCLE_CLOSEOUT_RULE_20260523.md","C:\Users\13527\Desktop\123\Jxhnny_Kl33N_Seedz\TOOLS\PORCH_DROPPED_HELPER_SCRIPTS_20260523\LOCK_SAVE_SUCCESS_PATTERN_HOME_PLACEMENT_RULES_20260523.ps1"
