"OriginalPath","NewPath","Category","SHA256"
"C:\Users\13527\Desktop\123\CLEAN_FRONT_DOOR_NO_LOOSE_FILES_V1.0.ps1","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\SCRIPTS\CLEAN_FRONT_DOOR_NO_LOOSE_FILES_V1.0.ps1","SCRIPTS","1943A023A40470CA5FD09842322BBF6F6D28232F0A7B6BD9348948F4053155F2"
"C:\Users\13527\Desktop\123\gate_bloat.txt","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\TEXT_NOTES\gate_bloat.txt","TEXT_NOTES","B9000B08D23167FAE85FC10B2748EC5D4B4F713362ADB3602985B93F33472996"
"C:\Users\13527\Desktop\123\LOCK_SAVE_17_ROUTE_SEQUENTIAL_LEARNING_WALK_PROCESS_V1.ps1","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\SCRIPTS\LOCK_SAVE_17_ROUTE_SEQUENTIAL_LEARNING_WALK_PROCESS_V1.ps1","SCRIPTS","D560201D2DAC3A1F627D75F594903761F8784F6B0CE53334CFA5464B72355C92"
"C:\Users\13527\Desktop\123\LOCK_SAVE_CHAT_TO_HOUSE_CREATIVE_ROOM_LARGE_MODEL_V2.ps1","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\SCRIPTS\LOCK_SAVE_CHAT_TO_HOUSE_CREATIVE_ROOM_LARGE_MODEL_V2.ps1","SCRIPTS","2D52C882FF71D1EC28555AFD424F19CBA534D3485D1069BD9416767089B6CAB4"
"C:\Users\13527\Desktop\123\LOCK_SAVE_CREATIVE_GATE_NEIGHBOR_ORDER_V1.ps1","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\SCRIPTS\LOCK_SAVE_CREATIVE_GATE_NEIGHBOR_ORDER_V1.ps1","SCRIPTS","2E9B3DA0FEAA301F57CF90D08524E1B94D3CC2D83B91A787D87E2542F6FFD82C"
"C:\Users\13527\Desktop\123\LOCK_SAVE_CREATIVE_GATE_WILDCARD_REPAIR_V1.ps1","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\SCRIPTS\LOCK_SAVE_CREATIVE_GATE_WILDCARD_REPAIR_V1.ps1","SCRIPTS","094643C4AF890472A6ED922FD79FE92B29B9983C413F2E5A5A3C84CD61835892"
"C:\Users\13527\Desktop\123\MULE_GATE_BLOAT_ARTIFACTS_COMBINED_FOR_CHAT_20260523_011340.txt","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\TEXT_NOTES\MULE_GATE_BLOAT_ARTIFACTS_COMBINED_FOR_CHAT_20260523_011340.txt","TEXT_NOTES","8EC5B33AEDC08AD01FE4C154B03F8979BC29F6C92BD3E2F59AC5EDE7D2D2A071"
"C:\Users\13527\Desktop\123\MULE_GATE_BLOAT_ARTIFACTS_COMBINED_FOR_CHAT_RECEIPT_20260523_011340.txt","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\RECEIPTS_REPORTS_LOGS\MULE_GATE_BLOAT_ARTIFACTS_COMBINED_FOR_CHAT_RECEIPT_20260523_011340.txt","RECEIPTS_REPORTS_LOGS","EF6BBF889A86F3E48C7558E61A640F3C5D8D13674D719BB2D0D393977488267F"
"C:\Users\13527\Desktop\123\MULE_GIT_123_BRIDGE_EXTRACTION_READBACK_FOR_CHAT_20260523_013306.txt","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\RECEIPTS_REPORTS_LOGS\MULE_GIT_123_BRIDGE_EXTRACTION_READBACK_FOR_CHAT_20260523_013306.txt","RECEIPTS_REPORTS_LOGS","732BFAB647A563FD8F560444E2696A576FE9A32C44C9BEE74DE9A5313837CDF0"
"C:\Users\13527\Desktop\123\MULE_GIT_123_BRIDGE_EXTRACTION_READBACK_RECEIPT_20260523_013306.txt","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\RECEIPTS_REPORTS_LOGS\MULE_GIT_123_BRIDGE_EXTRACTION_READBACK_RECEIPT_20260523_013306.txt","RECEIPTS_REPORTS_LOGS","F39794B750442F627172427198B40B454E47A1694C3214384FEC369C330A1E10"
"C:\Users\13527\Desktop\123\mule_ideas.txt","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\TEXT_NOTES\mule_ideas.txt","TEXT_NOTES","74C418756252EC3638EEECF99FAF3A0BE8C2E56B1BA68FB645956C2854EAB7CD"
"C:\Users\13527\Desktop\123\PRESSURE_SMOKEBREAK_DRESSING_ROOM_RULE_BUNDLE_FOR_MULE_JUDGE_20260523.md","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\MARKDOWN_NOTES\PRESSURE_SMOKEBREAK_DRESSING_ROOM_RULE_BUNDLE_FOR_MULE_JUDGE_20260523.md","MARKDOWN_NOTES","83D3A5F0CB0A6F6FCC05E95AF34723AE2A462B09B99CFB4BB8FB15385B18653A"
"C:\Users\13527\Desktop\123\PRESSURE_SMOKEBREAK_DRESSING_ROOM_RULE_BUNDLE_RECEIPT_20260523.txt","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\RECEIPTS_REPORTS_LOGS\PRESSURE_SMOKEBREAK_DRESSING_ROOM_RULE_BUNDLE_RECEIPT_20260523.txt","RECEIPTS_REPORTS_LOGS","7301C35FD3B351959173174B9D6970383F0E660BFF501CFB5BD8A1914707CD80"
"C:\Users\13527\Desktop\123\RECESS_PRIORITY_BLACK_HOLE_SOFT_SUIT_RULE_PACKAGE_20260523.md","C:\Users\13527\Desktop\123\PORCH_SORTING_TABLE\FRONT_DOOR_CLEANOUT_V1.0_20260523_023854\MARKDOWN_NOTES\RECESS_PRIORITY_BLACK_HOLE_SOFT_SUIT_RULE_PACKAGE_20260523.md","MARKDOWN_NOTES","26E67740E944E32D9E09BAC007B0F0E729BF73DC77BC0FAEF831C972ECA6A3A8"
